method,test_set,average_cost
DeepACO(LS)(T=2),TSP1000,24.186599731445312
DeepACO(LS)(T=12),TSP1000,23.970861434936523
DeepACO(NLS)(T=2),TSP1000,24.059968948364258
DeepACO(NLS)(T=12),TSP1000,23.863157272338867
Greedy,TSP1000,28.902860519890396
