method,test_set,average_cost
Genetic(T=100),TSP1000,356.6706237792969
ACO(LS)(T=2),TSP1000,25.132539749145508
DeepACO(LS)(T=2),TSP1000,24.45579719543457
DeepACO(NLS)(T=2),TSP1000,24.344730377197266
Greedy,TSP1000,28.902860519890396
