method,test_set,average_cost
ACO(LS)(T=2),TSP500,17.7020206451416
ACO(LS)(T=12),TSP500,17.523035049438477
DeepACO(LS)(T=2),TSP500,17.16456413269043
DeepACO(LS)(T=12),TSP500,17.00470733642578
DeepACO(NLS)(T=2),TSP500,17.051776885986328
DeepACO(NLS)(T=12),TSP500,16.91356658935547
Greedy,TSP500,20.80839306605617
