method,test_set,average_cost
ACO(LS)(T=2),TSPLIB100,6.474154472351074
ACO(LS)(T=10),TSPLIB100,6.400507926940918
DeepACO(LS)(T=2),TSPLIB100,6.4119696617126465
DeepACO(LS)(T=10),TSPLIB100,6.342598915100098
DeepACO(NLS)(T=2),TSPLIB100,6.362578868865967
DeepACO(NLS)(T=10),TSPLIB100,6.334587097167969
Greedy,TSPLIB100,7.951761407145698
Genetic(T=100),TSPLIB100,203.9037322998047
