method,test_set,average_cost
ACO(LS)(T=2),TSP500,17.70496368408203
ACO(LS)(T=12),TSP500,17.522695541381836
DeepACO(LS)(T=2),TSP500,17.07706069946289
DeepACO(LS)(T=12),TSP500,16.96156120300293
DeepACO(NLS)(T=2),TSP500,16.931360244750977
DeepACO(NLS)(T=12),TSP500,16.838075637817383
Greedy,TSP500,20.80839306605617
