method,test_set,average_cost
Genetic(T=100),TSP500,150.9008331298828
ACO(LS)(T=2),TSP500,17.7701416015625
ACO(LS)(T=10),TSP500,17.6475830078125
DeepACO(LS)(T=2),TSP500,17.21586036682129
DeepACO(LS)(T=10),TSP500,17.043716430664062
Greedy,TSP500,20.80839306605617
