method,test_set,average_cost
ACO(LS)(T=2),TSPLIB100,8.530145645141602
DeepACO(LS)(T=2),TSPLIB100,8.326051712036133
DeepACO(NLS)(T=2),TSPLIB100,8.247475624084473
Greedy,TSPLIB100,10.27803460357245
Genetic(T=10),TSPLIB100,512.04345703125
